WORD,YEAR,N,GENDER,TOTAL_PRINTS
lord,1782,1,m,221
lord,1783,4,m,254
lord,1784,3,m,420
lord,1785,0,m,163
lord,1786,0,m,238
lord,1787,2,m,132
lord,1788,0,m,261
lord,1789,0,m,165
lord,1790,0,m,199
lord,1791,1,m,262
lord,1792,0,m,239
lord,1793,0,m,170
lord,1794,1,m,229
lord,1795,1,m,261
lord,1796,0,m,255
lord,1797,2,m,220
lord,1798,1,m,244
lord,1799,0,m,188
lord,1800,0,m,233
lord,1801,0,m,170
lord,1802,0,m,147
lord,1803,0,m,308
lord,1804,0,m,190
lord,1805,1,m,218
lord,1806,0,m,226
lord,1807,0,m,246
lord,1808,0,m,297
lord,1809,0,m,297
lord,1810,0,m,202
lord,1811,0,m,158
lord,1812,1,m,174
lord,1813,2,m,230
lord,1814,2,m,276
lord,1815,1,m,262
lord,1816,0,m,134
lord,1817,1,m,131
lord,1818,0,m,228
lord,1819,0,m,309
lord,1820,1,m,691
lord,1821,1,m,286
lord,1822,0,m,170
lord,1823,0,m,162
lord,1824,1,m,176
lord,1825,1,m,230
lord,1826,1,m,174
lord,1827,3,m,190
lord,1828,1,m,215
lord,1829,0,m,461
man,1770,23,m,164
man,1771,68,m,178
man,1772,162,m,312
man,1773,95,m,249
man,1774,52,m,121
man,1775,36,m,95
man,1776,31,m,96
man,1777,38,m,105
man,1778,50,m,108
man,1779,38,m,108
man,1780,110,m,253
man,1781,75,m,173
man,1782,77,m,221
man,1783,91,m,254
man,1784,134,m,420
man,1785,66,m,163
man,1786,86,m,238
man,1787,43,m,132
man,1788,90,m,261
man,1789,60,m,165
man,1790,104,m,199
man,1791,94,m,262
man,1792,74,m,239
man,1793,57,m,170
man,1794,80,m,229
man,1795,90,m,261
man,1796,83,m,255
man,1797,67,m,220
man,1798,64,m,244
man,1799,58,m,188
man,1800,101,m,233
man,1801,54,m,170
man,1802,45,m,147
man,1803,63,m,308
man,1804,56,m,190
man,1805,48,m,218
man,1806,58,m,226
man,1807,96,m,246
man,1808,127,m,297
man,1809,94,m,297
man,1810,72,m,202
man,1811,77,m,158
man,1812,78,m,174
man,1813,88,m,230
man,1814,79,m,276
man,1815,90,m,262
man,1816,46,m,134
man,1817,52,m,131
man,1818,70,m,228
man,1819,92,m,309
man,1820,104,m,691
man,1821,76,m,286
man,1822,63,m,170
man,1823,49,m,162
man,1824,81,m,176
man,1825,75,m,230
man,1826,66,m,174
man,1827,80,m,190
man,1828,58,m,215
man,1829,97,m,461
master,1770,1,m,164
master,1771,4,m,178
master,1772,0,m,312
master,1773,5,m,249
master,1774,4,m,121
master,1775,0,m,95
master,1776,0,m,96
master,1777,0,m,105
master,1778,1,m,108
master,1779,5,m,108
master,1780,6,m,253
master,1781,3,m,173
master,1782,2,m,221
master,1783,6,m,254
master,1784,0,m,420
master,1785,2,m,163
master,1786,1,m,238
master,1787,0,m,132
master,1788,4,m,261
master,1789,2,m,165
master,1790,3,m,199
master,1791,9,m,262
master,1792,2,m,239
master,1793,0,m,170
master,1794,4,m,229
master,1795,3,m,261
master,1796,4,m,255
master,1797,1,m,220
master,1798,3,m,244
master,1799,3,m,188
master,1800,8,m,233
master,1801,4,m,170
master,1802,0,m,147
master,1803,6,m,308
master,1804,2,m,190
master,1805,7,m,218
master,1806,9,m,226
master,1807,9,m,246
master,1808,9,m,297
master,1809,2,m,297
master,1810,0,m,202
master,1811,2,m,158
master,1812,2,m,174
master,1813,5,m,230
master,1814,5,m,276
master,1815,2,m,262
master,1816,5,m,134
master,1817,1,m,131
master,1818,4,m,228
master,1819,5,m,309
master,1820,3,m,691
master,1821,3,m,286
master,1822,3,m,170
master,1823,2,m,162
master,1824,2,m,176
master,1825,5,m,230
master,1826,3,m,174
master,1827,3,m,190
master,1828,3,m,215
master,1829,2,m,461
men,1770,16,m,164
men,1771,11,m,178
men,1772,36,m,312
men,1773,40,m,249
men,1774,18,m,121
men,1775,13,m,95
men,1776,13,m,96
men,1777,12,m,105
men,1778,17,m,108
men,1779,19,m,108
men,1780,51,m,253
men,1781,26,m,173
men,1782,33,m,221
men,1783,36,m,254
men,1784,62,m,420
men,1785,16,m,163
men,1786,41,m,238
men,1787,18,m,132
men,1788,34,m,261
men,1789,22,m,165
men,1790,38,m,199
men,1791,31,m,262
men,1792,39,m,239
men,1793,24,m,170
men,1794,31,m,229
men,1795,18,m,261
men,1796,51,m,255
men,1797,31,m,220
men,1798,29,m,244
men,1799,22,m,188
men,1800,28,m,233
men,1801,22,m,170
men,1802,16,m,147
men,1803,33,m,308
men,1804,22,m,190
men,1805,31,m,218
men,1806,28,m,226
men,1807,34,m,246
men,1808,53,m,297
men,1809,48,m,297
men,1810,35,m,202
men,1811,34,m,158
men,1812,40,m,174
men,1813,65,m,230
men,1814,43,m,276
men,1815,37,m,262
men,1816,22,m,134
men,1817,31,m,131
men,1818,23,m,228
men,1819,48,m,309
men,1820,61,m,691
men,1821,28,m,286
men,1822,24,m,170
men,1823,24,m,162
men,1824,19,m,176
men,1825,35,m,230
men,1826,32,m,174
men,1827,27,m,190
men,1828,24,m,215
men,1829,41,m,461
mr,1770,0,m,164
mr,1771,0,m,178
mr,1772,0,m,312
mr,1773,0,m,249
mr,1774,0,m,121
mr,1775,0,m,95
mr,1776,0,m,96
mr,1777,0,m,105
mr,1778,0,m,108
mr,1779,0,m,108
mr,1780,0,m,253
mr,1781,0,m,173
mr,1782,0,m,221
mr,1783,0,m,254
mr,1784,0,m,420
mr,1785,0,m,163
mr,1786,0,m,238
mr,1787,0,m,132
mr,1788,0,m,261
mr,1789,0,m,165
mr,1790,0,m,199
mr,1791,0,m,262
mr,1792,0,m,239
mr,1793,0,m,170
mr,1794,0,m,229
mr,1795,0,m,261
mr,1796,0,m,255
mr,1797,0,m,220
mr,1798,0,m,244
mr,1799,0,m,188
mr,1800,0,m,233
mr,1801,0,m,170
mr,1802,0,m,147
mr,1803,0,m,308
mr,1804,0,m,190
mr,1805,0,m,218
mr,1806,0,m,226
mr,1807,0,m,246
mr,1808,0,m,297
mr,1809,0,m,297
mr,1810,0,m,202
mr,1811,0,m,158
mr,1812,0,m,174
mr,1813,0,m,230
mr,1814,0,m,276
mr,1815,0,m,262
mr,1816,0,m,134
mr,1817,0,m,131
mr,1818,0,m,228
mr,1819,0,m,309
mr,1820,0,m,691
mr,1821,0,m,286
mr,1822,0,m,170
mr,1823,0,m,162
mr,1824,0,m,176
mr,1825,0,m,230
mr,1826,0,m,174
mr,1827,0,m,190
mr,1828,0,m,215
mr,1829,0,m,461
sir,1770,0,m,164
sir,1771,0,m,178
sir,1772,0,m,312
sir,1773,0,m,249
sir,1774,0,m,121
sir,1775,0,m,95
sir,1776,1,m,96
sir,1777,0,m,105
sir,1778,0,m,108
sir,1779,0,m,108
sir,1780,0,m,253
sir,1781,0,m,173
sir,1782,0,m,221
sir,1783,0,m,254
sir,1784,0,m,420
sir,1785,0,m,163
sir,1786,0,m,238
sir,1787,0,m,132
sir,1788,0,m,261
sir,1789,0,m,165
sir,1790,0,m,199
sir,1791,0,m,262
sir,1792,0,m,239
sir,1793,1,m,170
sir,1794,0,m,229
sir,1795,0,m,261
sir,1796,1,m,255
sir,1797,0,m,220
sir,1798,0,m,244
sir,1799,0,m,188
sir,1800,0,m,233
sir,1801,0,m,170
sir,1802,0,m,147
sir,1803,1,m,308
sir,1804,1,m,190
sir,1805,3,m,218
sir,1806,0,m,226
sir,1807,0,m,246
sir,1808,0,m,297
